studies,country,Dignostic_method,Tryp_type,Year,study ID
"Canine Visceral Leishmaniasis; A Seroepidemiological Survey in Jiroft District, Southern Kerman Province, Southeastern Iran in 2015", Iran ," direct agglutination test', 'DAT "," Leishmania infantum', 'Leishmania ",2018,"(Abbaszadeh Afshar et al., 2018)"
"Epidemiology of visceral leishmaniasis in the Jenin district, West Bank: 1989-1998", NA ," enzyme-linked immunosorbent assay', 'polymerase chain reaction "," Leishmania infantum', 'Leishmania ",2002,"(Abdeen et al., 2002)"
"Bovine trypanosomosis and vector density in Omo-Ghibe tsetse belt, South Ethiopia", Ethiopia ," buffy coat ', 'smears', 'Giemsa-stained "," T. brucei brucei', 'T. brucei', 'T. congolense', 'T. vivax', 'Trypanosoma congolense', 'bovine trypanosomosis', 'bovine', 'Trypanosoma ",2017,"(Abebe et al., 2017)"
A cross-sectional study of trypanosomosis and its vectors in donkeys and mules in Northwest Ethiopia, Ethiopia ," buffy coat ', 'smears', 'Giemsa-stained "," Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma brucei', 'Trypanosoma ",2010,"(Abebe & Wolde, 2010)"
IDENTIFICATION OF CANINE VISCERAL LEISHMANIASIS IN A PREVIOUSLY UNAFFECTED AREA BY CONVENTIONAL DIAGNOSTIC TECHNIQUES AND CELL-BLOCK FIXATION, NA ," enzyme-linked immunosorbent assay', 'ELISA', 'IFA', 'parasitological culture', 'DPP', 'chromatographic immunoassay "," Leishmania infantum', 'Leishmania ",2016,"(Abrantes et al., 2016)"
"Environmental factors associated with canine visceral leishmaniasis in an area with recent introduction of the disease in the State of Rio de Janeiro, Brazil", Brazil ," immunoenzymatic assay', 'IEA', 'rapid immunochromatographic assay', 'dual path platform', 'DPP "," Leishmania infantum', 'Leishmania ",2018,"(Abrantes et al., 2018)"
Trypanosome infections in cattle in farms of different departments in Cote d'Ivoire, NA , NA ," T. brucei', 'T. congolense', 'Trypanosoma vivax', 'Trypanosoma ",2016,"(Acapovi-Yao et al., 2016)"
Hosts and vectors of Trypanosoma cruzi discrete typing units in the Chagas disease endemic region of the Paraguayan Chaco," Bolivia', 'Paraguay "," microscopic', 'discrete typing units', 'DTUs "," T. cruzi', 'Trypanosoma ",2017,"(Acosta et al., 2017)"
"Bovine trypanosomosis in the Upper West Region of Ghana: Entomological, parasitological and serological cross-sectional surveys", Ghana , ELISA ," Trypanosoma vivax', 'bovine trypanosomosis', 'bovine', 'Trypanosoma ",2012,"(Adam et al., 2012)"
"The identification, diversity and prevalence of trypanosomes in field caught tsetse in Tanzania using ITS-1 primers and fluorescent fragment length barcoding", Tanzania , PCR ,NA,2008,"(Adams et al., 2008)"
Estimation of Canine Leishmania Infection Prevalence in Six Cities of the Algerian Littoral Zone Using a Bayesian Approach, Algeria ," direct agglutination test', 'DAT', 'indirect fluorescent antibody test', 'IFAT', 'IFA ",Leishmania,2015,"(Adel et al., 2015)"
Canine leishmaniasis in Algeria: True prevalence and diagnostic test characteristics in groups of dogs of different functional type, Algeria ," direct agglutination test', 'indirect fluorescent antibody test', 'IFAT', 'particle gel immuno-assay', 'PaGIA', 'IFA ",NA,2010,"(Adel et al., 2010)"
Low Seroprevalence of Leishmania infantum and Toxoplasma gondii in the Horse Population in Israel, Israel ," direct agglutination test', 'DAT', 'modified agglutination test', 'MAT "," Leishmania infantum', 'L. infantum', 'Leishmania ",2015,"(Aharonson-Raz et al., 2015)"
, NA , NA ,NA,2015,"(Aisien et al., 2015)"
Blood parasites of some Anurans from southern Nigeria," Niger', 'Nigeria ", NA ,Trypanosoma,2015,"(Ajaoud et al., 2015)"
"Phlebotomus sergenti in a Cutaneous Leishmaniasis Focus in Azilal Province (High Atlas, Morocco): Molecular Detection and Genotyping of Leishmania tropica, and Feeding Behavior", Morocco ," PCR-RFLP', 'ITS1-PCR-RFLP', 'PCR-RFLP,', 'PCR', 'ITS1', 'ITS2 "," Leishmania tropica', 'Leishmania ",2010,"(Akhavan et al., 2010)"
Molecular Epizootiology of Rodent Leishmaniasis in a Hyperendemic Area of Iran, Iran ," PCR-RFLP', 'PCR-RFLP.', 'nested PCR', 'PCR "," L. major', 'Leishmania major', 'L. turanica', 'Leishmania ",2013,"(Akhoundi et al., 2013)"
Molecular Characterization of Leishmania Infection from Naturally Infected Sand Flies Caught in a Focus of Cutaneous Leishmaniasis (Eastern Iran), Iran ," PCR', 'ITS2 "," L. tropica', 'L. major', 'Leishmania major', 'Leishmania ",2013,"(Akhoundi et al., 2013)"
Molecular characterization of Leishmania spp. in reservoir hosts in endemic foci of zoonotic cutaneous leishmaniasis in Iran, Iran ," smears', 'PCR', 'Giemsa-stained', 'ITS1 "," Leishmania spp.', 'L. major', 'Leishmania major', 'L. turanica', 'Leishmania ",2017,"(Akhtardanesh et al., 2017)"
"Feline visceral leishmaniasis in Kerman, southeast of Iran: Serological and molecular study"," Azerbaijan', 'Iran "," enzyme-linked immunosorbent assay', 'ELISA', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",2008,"(Akinpelu, 2008)"
"Prevalence and Intensity of Blood Parasites in Wild Pigeons and Doves (Family: Columbidae) from Shasha Forest Reserve, Ile-Ife, Nigeria"," Niger', 'Nigeria ", smears ,Trypanosoma,2016,"(Akter et al., 2016)"
Molecular and Serological Evidence of Leishmania Infection in Stray Dogs from Visceral Leishmaniasis-Endemic Areas of Bangladesh," Bangladesh', 'India "," buffy coat ', 'polymerase chain reaction', 'PCR "," Leishmania infantum', 'Leishmania ",2018,"(Alanazi, 2018)"
"PARASITOLOGICAL AND MOLECULAR DETECTION OF CANINE TRYPANOSOMIASIS FROM RIYADH PROVINCE, SAUDI ARABIA", Saudi Arabia ," blood film', 'polymerase chain reaction', 'PCR "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2019,"(Alanazi et al., 2019)"
Molecular Detection of Leishmania spp. in Skin and Blood of Stray Dogs from Endemic Areas of Cutaneous Leishmaniasis in Saudi Arabia, Saudi Arabia ," cultures', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania spp.', 'L. tropica', 'L. major', 'Leishmania ",2018,"(Alanazi et al., 2018)"
Molecular detection of equine trypanosomiasis in the Riyadh Province of Saudi Arabia, Saudi Arabia ," PCR', 'ITS1 "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2019,"(Alarabi et al., 2019)"
Molecular detection of Trypanosoma evansi in camels (Camelus dromedarius) in southwestern Saudi Arabia, Saudi Arabia ," blood film', 'polymerase chain reaction', 'PCR', 'Giemsa-stained "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2017,"(Albuquerque et al., 2017)"
Evaluation of four molecular methods to detect Leishmania infection in dogs," Brazil', 'Portugal "," PCR', 'ITS1 "," Leishmania infantum', 'L. infantum', 'Leishmania ",2017,"(Aleman et al., 2017)"
"The Prevalence of Trypanosoma cruzi, the Causal Agent of Chagas Disease, in Texas Rodent Populations", NA ," qPCR', 'PCR "," T. cruzi', 'Trypanosoma ",2016,"(Alho et al., 2016)"
Seroprevalence of vector-borne pathogens and molecular detection of Borrelia afzelii in military dogs from Portugal, Portugal , polymerase chain reaction ," Leishmania infantum', 'L. infantum', 'Leishmania ",2014,"(Alias et al., 2014)"
