First,Year,Authors,,,,,,,,,
Abbaszadeh Afshar,2018,"Abbaszadeh Afshar, M. J. and Sharifi, I. and Bamorovat, M. and Mohebali, M. and Bahreini, M. S. and Naderi, A.",,,,,,,,,
Abdeen,2002,"Abdeen, Z. A. and Sawalha, S. S. and Eisenberger, C. L. and Khanfar, H. N. and Greenblatt, C. L. and Yousef, O. and Schnur, L. F. and Azmi, K. and Warburg, A. and Bader, K. A. and Jaffe, C. L. and Baneth, G.",,,,,,,,,
Abebe,2017,"Abebe, R. and Gute, S. and Simon, I.",,,,,,,,,
Abebe,2010,"Abebe, R. and Wolde, A.",,,,,,,,,
Abrantes,2016,"Abrantes, T. R. and Madeira, M. D. and da Silva, D. A. and Perie, Cdfs and Mendes, A. A. V. and Menezes, R. C. and Silva, V. L. and Figueiredo, F. B.",,,,,,,,,
Abrantes,2018,"Abrantes, T. R. and Werneck, G. L. and de Almeida, A. S. and Figueiredo, F. B.",,,,,,,,,
Acapovi-Yao,2016,"Acapovi-Yao, G. and Cisse, B. and Koumba, C. R. Z. and Mavoungou, J. F.",,,,,,,,,
Acosta,2017,"Acosta, N. and Lopez, E. and Lewis, M. D. and Llewellyn, M. S. and Gomez, A. and Roman, F. and Miles, M. A. and Yeo, M.",,,,,,,,,
Adam,2012,"Adam, Y. and Marcotty, T. and Cecchi, G. and Mahama, C. I. and Solano, P. and Bengaly, Z. and Van den Bossche, P.",,,,,,,,,
Adams,2008,"Adams, E. R. and Hamilton, P. B. and Malele, II and Gibson, W. C.",,,,,,,,,
Adel,2015,"Adel, A. and Abatih, E. and Speybroeck, N. and Soukehal, A. and Bouguedour, R. and Boughalem, K. and Bouhbal, A. and Djerbal, M. and Saegerman, C. and Berkvens, D.",,,,,,,,,
Adel,2010,"Adel, A. and Saegerman, C. and Speybroeck, N. and Praet, N. and Victor, B. and De Deken, R. and Soukehal, A. and Berkvens, D.",,,,,,,,,
Aharonson-Raz,2015,"Aharonson-Raz, K. and Baneth, G. and Lopes, A. P. and Brancal, H. and Schallig, H. and Cardoso, L. and Steinman, A.",,,,,,,,,
