0
"(Abbaszadeh Afshar et al., 2018)"
"(Abdeen et al., 2002)"
"(Abebe et al., 2017)"
"(Abebe & Wolde, 2010)"
"(Abrantes et al., 2016)"
"(Abrantes et al., 2018)"
"(Acapovi-Yao et al., 2016)"
"(Acosta et al., 2017)"
"(Adam et al., 2012)"
"(Adams et al., 2008)"
"(Adel et al., 2015)"
"(Adel et al., 2010)"
"(Aharonson-Raz et al., 2015)"
"(Aisien et al., 2015)"
"(Ajaoud et al., 2015)"
"(Akhavan et al., 2010)"
"(Akhoundi et al., 2013)"
"(Akhoundi et al., 2013)"
"(Akhtardanesh et al., 2017)"
"(Akinpelu, 2008)"
"(Akter et al., 2016)"
"(Alanazi, 2018)"
"(Alanazi et al., 2019)"
"(Alanazi et al., 2018)"
"(Alarabi et al., 2019)"
"(Albuquerque et al., 2017)"
"(Aleman et al., 2017)"
"(Alho et al., 2016)"
"(Alias et al., 2014)"
"(Almeida et al., 2016)"
"(Alroy et al., 2015)"
"(Alvasen et al., 2016)"
"(Alves et al., 2017)"
"(Amer et al., 2011)"
"(Amiri Ghannat Saman et al., 2019)"
"(Amusategui et al., 2004)"
"(Anderson et al., Na)"
"(Angwech et al., 2015)"
"(Antonio et al., 2011)"
"(Aragort et al., 2005)"
"(Araujo et al., 2016)"
"(Arce-Fonseca et al., 2017)"
"(Arismendi et al., 2016)"
"(Arjona et al., 2017)"
"(Arjona-Jimenez et al., 2012)"
"(Aslantas et al., 2005)"
"(Astudillo et al., 2013)"
"(Atarhouch et al., 2003)"
"(Atasoy et al., Na)"
"(Athanasiou et al., 2012)"
"(Attipa et al., 2017)"
"(Austen et al., 2015)"
"(Austen et al., 2011)"
"(Averis et al., 2009)"
"(Ayllon et al., 2008)"
"(Azeem et al., 2019)"
"(Azizi et al., 2010)"
"(Azpurua et al., 2010)"
"(Babuadze et al., 2014)"
"(Bacigalupo et al., 2010)"
"(Bag et al., 2009)"
"(Bajer et al., 2001)"
"(Bakirci et al., 2016)"
"(Bamorovat et al., 2015)"
"(Bamorovat et al., 2014)"
"(Bar & Wisnivesky-Colli, 2001)"
"(Barbosa et al., Na)"
"(Barbosa et al., 2017)"
"(Barbosa et al., 2017)"
"(Barbosa-Silva et al., 2019)"
"(Barnard et al., 2010)"
"(Barroso et al., 2015)"
"(Bashe & Abdullah, 2010)"
"(Baticados et al., 2011)"
"(Batista et al., 2007)"
"(Batista et al., 2012)"
"(Batistoti et al., 2001)"
"(Bears, 2004)"
"(Bekele & Nasir, 2011)"
"(Belo et al., 2017)"
"(Ben Othman et al., 2018)"
"(Benabid et al., 2017)"
"(Benassi et al., 2017)"
"(Bento et al., 2018)"
"(Berger et al., 2014)"
"(Berlin et al., 2012)"
"(Bernal & Pinto, 2016)"
"(Berzunza-Cruz et al., 2015)"
"(Bett et al., 2008)"
"(Bettaieb et al., 2014)"
"(Bezerra et al., 2018)"
"(Bezerra et al., 2014)"
"(Bhattarai et al., 2009)"
"(Bhattarai et al., 2010)"
"(Bhutto et al., 2010)"
"(Bigeli et al., 2012)"
"(Bilgin et al., 2015)"
"(Birhanu et al., 2015)"
"(Biryomumaisho et al., 2013)"
"(Biswas et al., 2018)"
"(Bitew et al., 2011)"
"(Bizhga et al., 2013)"
"(Bolukbas et al., 2016)"
"(Bonfante-Cabarcas et al., 2011)"
"(Borges et al., 2014)"
"(Borghesan et al., Na)"
"(Borji et al., 2009)"
"(Botero et al., 2013)"
"(Botto-Mahan et al., 2012)"
"(Botto-Mahan et al., 2015)"
"(Boushaki et al., 2019)"
"(Bovone et al., 2005)"
"(Bradley et al., 2000)"
"(Braga et al., 2014)"
"(Brasil et al., 2018)"
"(Bravo-Barriga et al., 2016)"
"(Bray et al., 2007)"
"(Breniere et al., 2012)"
"(Brigada et al., 2010)"
"(Brito et al., 2016)"
"(Brown et al., 2010)"
"(Bsrat et al., 2015)"
"(Buechel & Schmid-Hempel, 2016)"
"(Buendia et al., 2018)"
"(Buhaya et al., 2015)"
"(Bustamante et al., 2014)"
"(Cadioli et al., 2012)"
"(Cai et al., 2019)"
"(Caldart et al., 2015)"
"(Caldart et al., 2017)"
"(Calzada et al., 2015)"
"(Camejo et al., 2016)"
"(Can et al., 2016)"
"(Cardia et al., 2013)"
"(Cardinal et al., 2006)"
"(Cardinal et al., 2014)"
"(Cardoso et al., 2015)"
"(Cardoso et al., 2010)"
"(Cardoso et al., 2004)"
