title,abstract
"Canine Visceral Leishmaniasis; A Seroepidemiological Survey in Jiroft District, Southern Kerman Province, Southeastern Iran in 2015","Background: Domestic dogs have been implicated as the main reservoir host of Mediterranean type of visceral leishmaniasis (VL) that is endemic in some parts of Iran. This study was performed about role of dogs in canine VL (CVL) epidemiology in Jiroft District, south of Kerman Province, southeastern Iran. Methods: Totally, 165 dogs including 100 stray and 65 sheepdogs were randomly selected. After complete clinical examination blood sample was taken from each dog. All the collected samples were examined following the serum separation by direct agglutination test (DAT) for detection of anti-Leishmania infantum antibodies. The titers of >= 1:320 were defined as positive. Results: Overall, of 165 serum samples, 13 samples (7.9%) were positive by DAT at titers of >= 1:320. The seroprevalence was 11% among the stray dogs and 3% among the sheepdogs. There was no significant difference between stray and sheepdogs in CVL infection. The highest seroprevalence rate (14.3%) was found in seven-year old dogs. Conclusion: The present finding indicates the role of stray and sheepdogs in CVL epidemiology in this area. Further investigations are needed to evaluate the status of VL infection in human subjects in this area."
"Epidemiology of visceral leishmaniasis in the Jenin district, West Bank: 1989-1998","Fifty patients from rural areas in the Jenin district of the West Bank, Palestinian Authority, were diagnosed with visceral leishmaniasis (VL) between 1989 and 1998. Forty-nine (98%) were younger than 6 years old, the youngest being 9 months. The yearly incident rate of VL in the Jenin district was highest in 1994 (11.8/100,000) and decreased to 1.5/100,000 in 1998; a mortality rate of 4% was recorded. Seventeen (5.5%) of 308 dogs from the Jenin and Ramallah districts of the West Bank were seropositive by enzyme-linked immunosorbent assay in a survey of canine leishmaniasis. Although all the leishmanial strains cultured from humans and dogs were identified as Leishmania infantum by a species-specific polymerase chain reaction. further genetic analysis by restriction fragment length polymorphism of kinetoplast DNA revealed patterns of polymorphism within isolates. The findings indicate that an active focus of potentially fatal VL exits in the Jenin district of the West Bank and that the parasite. vector. and reservoir host are found in this area. The epidemiology of VL in that vicinity follows the pattern of a predominantly infantile disease traditionally found in Middle Eastern countries, without a considerable involvement of immunocompromised adults infected with HIV virus as reported in other regions."
An epidemiological study of intestinal parasitosis and Chagas' disease in Japanese descendants and Paraguayan villages in Paraguay,"The prevalence of parasitic infection was studied in November and December 1996 for the residents (0.3-76 years of age,217 in total) of Japanese descendant colonies(la Colmena and Pirap) and Paraguayan villages(It Potrer and Calle Poi,Paraguar Department, endemic areas of Chagas' disease). It was found that 8(22-72 years of age)out of 217(3.7%) residents on the whole were positive for anti-Trypanosoma cruzi antibodies (IgG fraction) with no infected children. The prevalence of intestinal parasitosis was also studied for the same residents, showing that 126 out of 317( 58.1%) residents were infected with a high prevalence of Giardia lambria (24.4%) and Necator americanus (19.4%). As for the infection rates for the latter in each area, a marked difference was observed between Japanese descendants (7.7%) and Paraguayan residents (22.1%) in Pirap, indicating the infuluence of the differences of usual daily habits and hygenical consciousness between each group."
"Bovine trypanosomosis and vector density in Omo-Ghibe tsetse belt, South Ethiopia","African animal trypanosomosis (AAT) is a parasitic disease that causes serious economic losses in livestock from anemia, loss of condition, emaciation and death in untreated cases. It is one of the major constraints to improved livestock production and productivity in Ethiopia. Entomological and parasito-logical surveys were conducted in the Omo-Ghibe tsetse belt of south Ethiopia to estimate the prevalence of bovine trypanosomosis and the apparent tsetse density (AD), and identify the potential risk factors. For the parasitological study, blood samples were collected from 1508 cattle sampled from 11 districts and assayed using the buffy coat technique and Giemsa-stained thin smears. For the entomological survey, a total of 216 biconical and NGU traps were deployed in all districts. The overall animal-level prevalence of trypanosomosis was 7.8% (95% Cl: 6.5, 9.3). The trypanosome species identified were Trypanosoma congolense (75.4%), T. vivax (20.3%), T. brucei brucei (1.7%) and mixed T. congolense/T. vivax (2.6%). Regarding the entomological survey result, a total of 2243 tsetse flies were captured which identified to be Glossina pallidipes (85.1%) and G. f fuscipes (14.9%). Besides, other biting flies of the genus Stomoxys (n =146) and Tabanus (n=17) were also trapped. The AD noted in the present study was 3.5 flies/trap/day. Both the prevalence of trypanosomosis and AD of tsetse flies were significantly (p < 0.05) influenced by altitude. The prevalence of trypanosomosis was also significantly (p <0.05) associated with poor body condition score, black coat color and lower mean packed cell volume while no significant prevalence difference was noted along with age and sex category. In conclusion, the present study suggested that trypanosomosis is an important disease of cattle in the Omo-Ghibe tsetse belt in dry season. The disease is mainly caused by the most pathogenic T. congolense and transmission is predominantly by tsetse flies, particularly G. pallidipes. The study warrants the need for strengthening the vector and parasite control interventions in the area. (C) 2016 Elsevier B.V. All rights reserved."
A cross-sectional study of trypanosomosis and its vectors in donkeys and mules in Northwest Ethiopia,"A preliminary study was conducted in January 2009 in four peasant associations (PAs) selected from two districts in Benishangul Gumuz Regional State, Northwest Ethiopia to investigate the prevalence and species of trypanosomes infecting donkeys and mules and identify the fly vectors playing a role in the transmission of trypanosomosis. Blood samples were collected from a total of 334 donkeys and 52 mules and examined by dark ground/phase contrast buffy coat technique and Giemsa-stained blood smears. Accordingly, trypanosome species were encountered in 6.3% of the examined donkeys (n = 21) while none of the mules examined was positive for trypanosome infection. Trypanosomes and tsetse flies were detected in two of the four PAs surveyed (Tsetsa adurno and Bamadone) with significant (P = 0.004) difference in prevalence. The inability to find trypanosomes in the other two PAs (Ura and Ashura) was most likely due to the absence of appropriate fly vectors. Three species of trypanosomes were detected in donkeys, which in order of predominance were Trypanosoma congolense (52.4%), Trypanosoma brucei (28.6%), and Trypanosoma vivax (19.05%). There was a significant (P = 0.008) difference in mean PCV between trypanosome infected and non-infected donkeys. The body condition score of the donkeys was significantly associated with both prevalence of infection (P = 0.009) and mean packed cell volume (PCV; P < 0.0001). No significant difference was observed between male and female donkeys regarding both prevalence of infection and mean PCV (P > 0.05 for each factor). The entomological surveys revealed the presence of Glossina morsitans submorsitans and other biting flies of the family Stomoxys, Tabanus, and Haematopota. In conclusion, the prevalence of trypanosomosis obtained in the current study is generally low compared to previous studies. As the present study design was a cross-sectional, one that only depicts a momentary picture of the infection status in the herd, a further longitudinal study that makes use of more sensitive techniques and entomological survey is recommended."
Prevalence of Surra among camels and horses in Jordan,"The prevalence of Trypanosoma evansi infection among camels and horses in Jordan was studied using thick blood smears and inoculation techniques with mice and rats. A total of 437 camels and 83 horses from four climatic zones were surveyed. In addition, 40 donkeys, 32 cattle and 35 goats in contact with infected camels and horses were also tested in the same way. Clinical disease was evident in 8.2% of the camels (36 out of 437) and in 9.6% of the horses (8 out of 83). Infection was limited only to the Sweama area on the Dead Sea (within the warm desert-climatic zone), with prevalence of 30.5% and 33.3%, respectively, for camels and horses. Donkeys, cattle and goats examined were all free from ir: evansi. Clinically affected camels were positive by both, thick blood smear and mouse and rat inoculations. Rat and mouse inoculations revealed (X-2=3.2, df=1, exact p=0.07) greater number of positive cases in horses than those revealed by thick blood smears. ir: evansi-infected camels and horses showed all the clinical signs known for Surra. In addition, it was observed that 100% of infected camels stared at the sun. (C) 1999 Elsevier Science B.V. All rights reserved."
Phenotypic diversity of Triatoma infestans at the microgeographic level in the gran chaco of Argentina and the Andean valleys of Bolivia,"Triatoma infestans (Klug) is the main vector of Trypanosoma cruzi, etiologic agent of Chagas disease. The phenotype of the species varies at different geographic scales. The objective of this study was to compare the antennal phenotype of spatially close T infestans populations and to evaluate its usefulness as a marker of exchange of individuals between populations. The antennal phenotype of 190 T. infestans from Argentina and Bolivia was analyzed using uni- and multivariate techniques. This study shows heterogeneity of the antennal phenotypes of closely related T. infestans populations living in different habitats. Specimens collected in a goat corral and a rabbit cage in La Rioja (Argentina) were dissimilar to the specimens collected in the nearby intradomestic environment. Similarly, specimens from peridomestic corrals in Cochabamba (Bolivia) were different from the intradomestic and sylvatic specimens, indicating some degree of isolation between these populations. In contrast, T. infestans collected in chicken coops and the intradomestic environment were similar, in all studied regions, suggesting a frequent exchange of individuals between the two habitats and/or because of the similarity of the habitat due to the presence of chickens in the intradomestic environment. We propose that each habitat affects in a particular mode the insect morphology and these changes could be used to identify recolonizing T. infestans. These results support the hypothesis of different degrees of isolation between intradomestic and peridomestic habitats. Within this context, special attention should be given to chicken coops and other close peridomestic structures in relation to the recolonization process of domestic habitats by T. infestans."
CANINE LEISHMANIASIS - PATHOLOGICAL AND ECOLOGICAL FACTORS INFLUENCING TRANSMISSION OF INFECTION,"Canine leishmaniasis was studied in 1,823 dogs from the Lisbon metropolitan region. The breeds most affected were doberman and German shepherd, independent of sex and use. Young adult (12.2%) and older dogs (14.7%) had higher prevalences of infection. Parasitological confirmation of serological diagnosis was higher in dogs with indirect fluorescent antibody test titer greater-than-or-equal-to 1:512, indicating that parasitological patency is a late event. Exposure of Leishmania in lymph nodes is more efficient for parasitological confirmation (75.4% of cases). Frequent signs of disease were enlarged lymph nodes and onychogriphosis. However, 53.8% of the dogs with significant antibody titers (greater-than-or-equal-to 1:128) showed no symptom, suggesting that canine leishmaniasis has a prolonged asymptomatic period. This study confirmed the importance of the dog as the reservoir of visceral leishmaniasis."
IDENTIFICATION OF CANINE VISCERAL LEISHMANIASIS IN A PREVIOUSLY UNAFFECTED AREA BY CONVENTIONAL DIAGNOSTIC TECHNIQUES AND CELL-BLOCK FIXATION,"After the report of a second case of canine visceral leishmaniasis (CVL) in Sao Bento da Lagoa, Itaipuacu, in the municipality of Marica, Rio de Janeiro State, an epidemiological survey was carried out, through active search, totaling 145 dogs. Indirect immunofluorescence assay (IFA), enzyme-linked immunosorbent assay (ELISA), and rapid chromatographic immunoassay based on dual-path platform (DPP (R)) were used to perform the serological examinations. The parasitological diagnosis of cutaneous fragments was performed by parasitological culture, histopathology, and immunohistochemistry. In the serological assessment, 21 dogs were seropositive by IFA, 17 by ELISA, and 11 by DPP (R), with sensitivity of 66.7%, 66.7% and 50%, and specificity of 87.2%, 90.2% and 94%, respectively for each technique. The immunohistochemistry of bone marrow using the cell-block technique presented the best results, with six positive dogs found, three of which tested negative by the other parasitological techniques. Leishmania sp. was isolated by parasitological culture in three dogs. The detection of autochthonous Leishmania infantum in Itaipuacu, and the high prevalence of seropositive dogs confirm the circulation of this parasite in the study area and alert for the risk of expansion in the State of Rio de Janeiro."
"Environmental factors associated with canine visceral leishmaniasis in an area with recent introduction of the disease in the State of Rio de Janeiro, Brazil","The study assessed the association between environmental characteristics obtained by remote sensing and prevalence of canine visceral leishmaniasis (CVL) in the neighborhood of Jacare, an area with recent introduction of the disease in the municipality (county) of Niteroi, Rio de Janeiro State, Brazil. This was a cross-sectional study to assess CVL prevalence, defined as a positive result in the dual path platform (DPP) rapid immunochromatographic assay, confirmed by immunoenzymatic assay (IEA). The study included 97 dogs, with 21.6% CVL prevalence. CVL prevalence was higher in dogs with contact with another dog, opossum, marmoset, or hedgehog, as well as history of culling of other dogs with CVL from the household. In the multivariate analysis, adjusted for the dog's sex and age, dogs in areas with sparse vegetation showed fivefold higher prevalence of Leishmania infantum infection compared to dogs in areas with less vegetation (OR = 5.72; 95% CI: 1.47-22.20). Meanwhile, less urbanized areas, characterized as commercial or low-income residential areas, identified by remote sensing as those with high density of gray structures, were associated with lower CVL prevalence (OR = 0.09; 95% CI: 0.01-0.92). The higher prevalence of infection in dogs living alongside wild animals and in areas with more vegetation and lower prevalence in more urbanized areas suggest a rural transmission pattern for CVL in this area."
