parasite species
Leishmania infantum
L. infantum
Leishmania spp.
L. tropica
L. mexicana
L. denovani
L. aethiopica
L. waltoni
L. amazonesis
L. major
Leishmania major
Leishmania  amazonesis
Leishmania denovani
Leishmania tropica
Leishmania waltoni
Leishmania aethiopica
Leishmania brazilliensis
L. brazilliensis
Leishmania peruviana
Leishmania guyanesis
Leishmania panamensis
Leishmania shawi
Leishmania lindenberrgi
Leishmania naiffi
L. peruviana
L. guyanesis
L. panamensis
L. shawi
L. lindenberrgi
L. naiffi
T. evansi
T. equperdum
T. brucei brucei
T.b. rhodensiense
T.b. gambiense
T. brucei
T. suis
T. congolense
T. godfreyi
T. vivax
T. cruzi
Trypanosoma congolense
Trypanosoma evansi
Trypanosoma vivax
Trypanosoma godfreyi
Trypanosoma brucei
Trypanosoma brucei gambiense
Trypanosoma brucei rhodensiense
Trypanosoma brucei brucei
Trypansoma suis
Trypansoma cruzi
T. cruzi
C. bombi 
Crithidia bombi
Crithidia mellificae
Lotmaria passim
L. passim
C. mellificae
Leptotmonas
Crithidia fasciculata.
C. fasciculata.
Trypanosomosis
L. turanica
Leishmania turanica
T. simiae
Trypanosoma simiae
bovine
Leishmania
Trypanosoma
bovine trypanosomosis
