year,study_ID,year_of_collection ,continent ,country,latitude,longitude,hs1,hs,IS03,Order,host_species1,bees_type,host1,host,dm,dignostic_method,genus,Tryp_species1,Tryp_species2,total,cases,all_prevelence_,ID,infected,not_infected,p,WM,notes,all_type,all_type2,md,insec1,insec,sm,Column1,Column2
2019,"(Votypka et al., 2019)",,South America,Caribbean,,,1,2,CUW,Diptera,Catorhintha guttula,Catorhintha guttula ,truebugs (mono),truebugs,mol,PCR,‘jaculum’_spp.,‘jaculum’_spp.,‘jaculum’_spp.,18,12,67,m13,12,6,0.67,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2019,"(Votypka et al., 2019)",,South America,Caribbean,,,1,2,CUW,Diptera,Catorhintha selector ,Catorhintha selector ,truebugs (mono),truebugs,mol,PCR,‘jaculum’_spp.,‘jaculum’_spp.,‘jaculum’_spp.,54,26,48.15,m13,26,28,0.4815,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2019,"(Votypka et al., 2019)",,South America,Caribbean,,,1,2,CUW,Diptera,Neomegalotomus parvus ,Neomegalotomus parvus ,truebugs (mono),truebugs,mol,PCR,‘jaculum’_spp.,‘jaculum’_spp.,‘jaculum’_spp.,37,4,10.81,m13,4,33,0.1081,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2019,"(Votypka et al., 2019)",,South America,Caribbean,,,1,2,CUW,Diptera,Niesthrea vincentii ,Niesthrea vincentii ,truebugs (mono),truebugs,mol,PCR,‘jaculum’_spp.,‘jaculum’_spp.,‘jaculum’_spp.,11,2,18.18,m13,2,9,0.1818,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,South Africa,25°44’S,28°12’E,1,1,ZAF,Diptera,Chrysomya albiceps,"Chrysomya albiceps, Chrysomya megacephala, Chrysomya putoria, Lucilia sericata, Lucilia eximia, Musca domestica, Ornidia obesa, Zelus leucogrammus, Cochliomyia hominivorax, Cochliomyia macellaria, Glossina sp., Cochliomyia hominivorax.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Agomonas_deanei,3900,184,4.7,29467742,184,3716,0.047,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,South Africa,25°44’S,28°12’E,1,1,ZAF,Diptera,Lucilia eximia,"Lucilia eximia, Chrysomya putoria, Chrysomya megacephala, Chrysomya albiceps.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_ambiguus,3900,12,0.3,29467742,12,3888,0.003,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,South Africa,25°44’S,28°12’E,1,1,ZAF,Diptera,Chrysomya megacephala,"Chrysomya megacephala, Chrysomya putoria, Cochliomyia hominivorax, Cochliomyia macellaria, Lucilia sericata, Lucilia eximia. Ornidia obesa. ",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_desouzai,3900,38,1,29467742,38,3862,0.01,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Ethiopia,25°44’S,28°12’E,1,1,ETH,Diptera,Chrysomya albiceps,"Chrysomya albiceps, Chrysomya megacephala, Chrysomya putoria, Lucilia sericata, Lucilia eximia, Musca domestica, Ornidia obesa, Zelus leucogrammus, Cochliomyia hominivorax, Cochliomyia macellaria, Glossina sp., Cochliomyia hominivorax.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Agomonas_deanei,3900,184,4.7,29467742,184,3716,0.047,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Ethiopia,25°44’S,28°12’E,1,1,ETH,Diptera,Lucilia eximia,"Lucilia eximia, Chrysomya putoria, Chrysomya megacephala, Chrysomya albiceps.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_ambiguus,3900,12,0.3,29467742,12,3888,0.003,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Ethiopia,25°44’S,28°12’E,1,1,ETH,Diptera,Chrysomya megacephala,"Chrysomya megacephala, Chrysomya putoria, Cochliomyia hominivorax, Cochliomyia macellaria, Lucilia sericata, Lucilia eximia. Ornidia obesa. ",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_desouzai,3900,38,1,29467742,38,3862,0.01,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
