year,study_ID,year_of_collection ,continent ,country,latitude,longitude,sociality,life expectency,IS03,Order,host_species2,host_species12,host_species,host1,host,dm,dignostic_method,genus1,genus2,genus,Tryp_species,Tryp_species12,Tryp_species2,total,cases,all_prevelence_,ID,infected,not_infected,p,WM,settings,study_type,Column1,notes,all_type,all_type2,md,insec1,insec,sm
2004,"(Cherenet et al., 2004)",1997 and 2001,Africa,Ethiopia,09°02’N,38°42’E,social ,8 to 40,ETH,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,micro,"microscopic examination, Buffy coat , and Gimsa staining",,1,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_brucei,7079,9,0.12,3,9,7070,0.0012,,,Longitudinal,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2004,"(Cherenet et al., 2004)",1997 and 2001,Africa,Ethiopia,09°02’N,38°42’E,social ,9 to 40,ETH,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,micro,"microscopic examination, Buffy coat , and Gimsa staining",,1,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense,7079,7,0.1,3,7,7072,0.001,,,Longitudinal,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2004,"(Cherenet et al., 2004)",1997 and 2001,Africa,Ethiopia,09°02’N,38°42’E,social ,9 to 40,ETH,Artiodactyla,,Bos taurus,Bos taurus.,cattle,cattle,micro,"microscopic examination, Buffy coat , and Gimsa staining",,1,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,7079,450,6.4,3,450,6629,0.064,,,Longitudinal,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2012,"(Tasew & Duguma, 2012)",NA,Africa,Ethiopia,09°02’N,38°42’E,social ,9 to 40,ETH,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,micro,"agreement( buffy coat , microscopic, PCV)",,1,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense,1132,82,7.2,5,82,1050,0.072,,,cross_sectional ,,"agreement( buffy coat , microscopic)",1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2012,"(Tasew & Duguma, 2012)",NA,Africa,Ethiopia,09°02’N,38°42’E,social ,9 to 40,ETH,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,micro,"agreement( buffy coat , microscopic, PCV)",,1,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,1132,12,1.1,5,12,1120,0.011,,,cross_sectional ,,"agreement( buffy coat , microscopic)",1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2015,"(Rohousova et al., 2015)",2010,Africa,Ethiopia,09°02’N,38°42’E,2,2,ETH,animals,,,,animals,animals,mol,PCR,,1,9,Leishmania_donovani,Leishmania_donovani,Leishmania_donovani,546,32,5.9,6,32,514,0.059,,domestic,cross_sectional ,VL,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2015,"(Ajaoud et al., 2015)",2011,Africa,Morocco,31.7917° N,7.0926° W,1,1,MAR,Diptera,,Phlebotomus sergenti ,Phlebotomus sergenti ,flies,flies,mol,"PCR-RFLP	ITS1-PCR-RFLP	PCR-RFLP",,1,9,Leishmania_tropica,Leishmania_tropica,Leishmania_tropica,965,55,5.7,8,55,910,0.057,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2010,"(Schultz et al., 2010)",1993-1995,Africa,South Africa,25°44’S,28°12’E,1,1,ZAF,Passeriformes,,Turdus migratorius,Turdus migratorius,birds,birds,micro,"microscopic	examination",,1,1,Trypanosoma_everetti,Trypanosoma_everetti,Trypanosoma_everetti,940,1,0.28,9,1,939,0.0028,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2017,"(Kassi N’Djetchi et al., 2017)",2013,Africa,Ivory Coast,7.5400° N,5.5471° W,social ,9 to 40,CAF,Artiodactyla,,Capra hircus,Capra hircus,goats,goats,mol,PCR ,,1,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_brucei_s.l,136,3,2.21,10,3,133,0.0221,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2017,"(Kassi N’Djetchi et al., 2017)",2013,Africa,Ivory Coast,7.5400° N,5.5471° W,social ,9 to 40,CAF,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,mol,PCR ,,1,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_bucei_s.l,87,15,1.7,10,15,72,0.017,,,cross_sectional ,,not very clear breakdown ofTrypanosoma infections,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
