year,study_ID,Column1,year_of_collection ,continent ,country,latitude,longitude,hs1,hs,IS03,Order,host_species1,host_species,host1,host,dm,dignostic_method,genus,Tryp_species1,Tryp_species2,total,cases,all_prevelence_,ID,infected,not_infected,p,WM,settings,study_type,notes,all_type,all_type2,md,insec1,insec,sm
,"(Abbaszadeh Afshar et al., 2018)",cited,Asia,,Iran,,,,,IRN,,,,dogs,dogs,sero,direct agglutination test (DAT),9,Leishmania_infantum,Leishmania_infantum,165,13,7.9,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6019586/,,,29963087,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Abdeen et al., 2002)",cited,Asia,,Palestine,,,,,PSE,,,,dogs,dogs,sero,enzyme-linked immunosorbent assay and PCR,9,Leishmania_infantum,Leishmania_infantum,305,17,5.5,,,,,12164284,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Abebe & Wolde, 2010)",cited,Africa,,Ethiopia,,,,,ETH,,,,equids,equids,micro,buffy coat and Giemsa-stained smears,1,Trypanosoma_brucei,Trypanosoma_brucei,334,6.006,1.798203593,,,,,20143093,zero cases among tested mules,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Abebe & Wolde, 2010)",cited,Africa,,Ethiopia,,,,,ETH,,,,equids,equids,micro,buffy coat and Giemsa-stained smears,1,Trypanosoma_congolense,Trypanosoma_congolense,334,11.004,3.294610778,,,,,20143093,zero cases among tested mules,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Abebe & Wolde, 2010)",cited,Africa,,Ethiopia,,,,,ETH,,,,equids,equids,micro,buffy coat and Giemsa-stained smears,1,Trypanosoma_vivax,Trypanosoma_vivax,334,4.0005,1.197754491,,,,,20143093,zero cases among tested mules,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
2017,"(Abebe et al., 2017)",cited,2013-2014,Africa,Ethiopia,09°02’N,38°42’E,1,1,ETH,Artiodactyla,Bos taurus ,Bos taurus.,cattle,cattle,micro,BCT and microscopic,1,Trypanosoma_brucei,Trypanosoma_brucei,1508,2,0.13,28007483,2,1506,0.0013,,,cross_sectional ,PCV ,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2017,"(Abebe et al., 2017)",cited,2013-2014,Africa,Ethiopia,09°02’N,38°42’E,1,1,ETH,Artiodactyla,Bos taurus ,Bos taurus.,cattle,cattle,micro,BCT and microscopic,1,Trypanosoma_vivax,Trypanosoma_vivax,1508,24,1.5,28007483,24,1484,0.015,,,cross_sectional ,PCV ,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2017,"(Abebe et al., 2017)",cited,2013-2014,Africa,Ethiopia,09°02’N,38°42’E,1,1,ETH,Artiodactyla,Bos taurus ,Bos taurus.,cattle,cattle,micro,BCT and microscopic,1,Trypanosoma_congolense,Trypanosoma_congolense,1508,89,5.9,28007483,89,1419,0.059,,,cross_sectional ,PCV ,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
,"(Abrantes et al., 2016)",cited,,,Brazil,,,,,BRA,,,,dogs,dogs,sero,"enzyme-linked immunosorbent assay (ELISA), (IFA)parasitological culture and  (DPP)",9,Leishmania_infantum,Leishmania_infantum,145,37,25.2,Leishmania sp,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4793944/,,,NA,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Abrantes et al., 2018)",cited,,,Brazil,,,,,BRA,,,,dogs ,dogs,sero,immunoenzymatic assay and (IEA) and rapid immunochromatographic assay-dual path platform (DPP),9,Leishmania_infantum,Leishmania_infantum,97,21,21.6,,https://www.scielo.br/pdf/csp/v34n1/en_1678-4464-csp-34-01-e00021117.pdf,,,NA,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2017,"(Acosta et al., 2017)",ny,2002-2008,South America,Paraguay and Bolivia,25°10’S,57°30’W,3,3,PRY,Hemiptera,,True bug,truebugs,truebugs,mol,microscopic positivity and discrete typing units (DTUs),5,Trypanosoma_cruzi,Trypanosoma_cruzi,1044,55,5,28179034,55,989,0.05,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2012,"(Adam et al., 2012)",cited,2008-2009,Africa,Ghana,05°35’N,00°06’W,1,1,GHA,Artiodactyla,Bos taurus ,Bos taurus.,cattle,cattle,micro,Buffy coat technique and microscopic,1,Trypanosoma_brucei,Trypanosoma_brucei,1800,7,0.4,21550616,7,1793,0.004,,,cross_sectional ,Buffy coat technique and microscopic,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2012,"(Adam et al., 2012)",cited,2008-2009,Africa,Ghana,05°35’N,00°06’W,1,1,GHA,Artiodactyla,Bos taurus ,Bos taurus.,cattle,cattle,micro,Buffy coat technique and microscopic,1,Trypanosoma_vivax,Trypanosoma_vivax,1800,27,1.5,21550616,27,1773,0.015,,,cross_sectional ,Buffy coat technique and microscopic,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2008,"(Adams et al., 2008)",cited,2005-2006,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,Glossina pallidipes,"Glossina pallidipes, G. brevipalpis, G. swynnertoni, G. brevipalpis. ",flies,flies,mol,PCR,1,Trypanosoma_spp.,Trypanosoma_spp.,4246,291,6.9,17826361,291,3955,0.069,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
,"(Aisien et al., 2011)",ny,,,Nigeria,,,,,NGA,,,,frogs,animals,micro,"N	A",1,Trypanosoma_spp.,Trypanosoma_spp.,89,3,3.37,,https://www.researchgate.net/publication/290650020_Blood_parasites_of_some_Anurans_from_southern_Nigeria,,,NA,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
2015,"(Ajaoud et al., 2015)",cited,2011,Africa,Morocco,31.7917° N,7.0926° W,1,1,MAR,Diptera,Phlebotomus sergenti ,Phlebotomus sergenti ,flies,flies,mol,"PCR-RFLP	ITS1-PCR-RFLP	PCR-RFLP",9,Leishmania_tropica,Leishmania_tropica,965,55,5.7,8,55,910,0.057,,,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
,"(Akhavan et al., 2010)",cited,,,Iran,,,,,IRN,,,,rodents,rodents,mol,nested PCR and then confirmed using PCR-RFLP ,,Leishmania_turanica,Leishmania_turanica,58,34,58.6,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3468974/,,,NA,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2013,"(Akhoundi A et al., 2013)",cited,2008-2011,Asia,Iran,35°44’N,51°30’E,1,2,IRN,Rodentia,Rhombomys opimus,"Rhombomys opimus, Meriones libycus, Meriones persicus, Tatera indica, Nesokia indica, Rattus rattus, Mus musculus.",rodents,rodents,mol,"ITS1-PCR	",9,Leishmania_spp.,Leishmania_spp.,593,186,31.4,23951928,186,407,0.314,,,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2013,"(Akhoundi et al., 2013)",cited,2010,Asia,Iran,35°44’N,51°30’E,1,1,IRN,Diptera,Phlebotomus sergenti,P. sergenti,flies,flies,mol,PCR and ITS2 partial sequencing,9,Leishmania_tropica,Leishmania_tropica,90,1,1.1,17,1,89,0.011,,,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2013,"(Akhoundi et al., 2013)",cited,2010,Asia,Iran,35°44’N,51°30’E,1,1,IRN,Diptera,Phlebotomus caucasicus,P. caucasicus,flies,flies,mol,PCR and ITS2 partial sequencing,9,Leishmania_major,Leishmania_major,60,3,5,17,3,57,0.05,,,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2013,"(Akhoundi et al., 2013)",cited,2010,Asia,Iran,35°44’N,51°30’E,1,1,IRN,Diptera,Phlebotomus papatasi,P. papatasi,flies,flies,mol,PCR and ITS2 partial sequencing,9,Leishmania_major,Leishmania_major,151,9,6,17,9,142,0.06,,,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
,"(Akhtardanesh et al., 2017)",cited,,,Iran,,,,,IRN,,,,cats,cats,mol,pcr,9,Leishmania_infantum,Leishmania_infantum,60,10.02,16.7,,https://www.jvbd.org/temp/JVectorBorneDis54196-7409815_203458.pdf,,,28352052,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Akinpelu, 2008)",cited,,,Nigeria,,,,,NGA,,,,birds,birds,micro,smears,1,Trypanosoma_spp.,Trypanosoma_spp.,248,77,6.9,,,,,NA,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Akter et al., 2016)",cited,,,Bangladesh,,,,,BGD,,,,dogs,dogs,mol,buffy coat PCr,9,Leishmania_infantum,Leishmania_infantum,50,10,20,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5062775/,,,27382083,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2018,"(Alanazi et al., 2018)",cited,2015-2017,Asia,Saudi Arabia,24°41’N,46°42’E,1,1,SAU,Perissodactyla,Equus asinus,Equus asinus,equids,equids,mol,ITS10-PCR ,1,Trypanosoma_evansi,Trypanosoma_evansi,142,4,2.8,T17,4,138,0.028,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2018,"(Alanazi et al., 2018)",cited,2015-2017,Asia,Saudi Arabia,24°41’N,46°42’E,1,1,SAU,Perissodactyla,Equus caballus,Equus caballus,equids,equids,mol,ITS10-PCR ,1,Trypanosoma_evansi,Trypanosoma_evansi,368,12,3.2,T17,12,356,0.032,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2019,"(Alanazi et al., 2019)",cited,,Asia,Saudi Arabia,,,,,SAU,,,,dogs,dogs,mol,PCR,9,Leishmania_spp.,Leishmania_spp.,529,31,5.86,H10,31,498,5.860113422,,,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2019,"(Alarabi et al., 2019)",cited,2005,Asia,Saudi Arabia,24°41’N,46°42’E,1,1,SAU,Artiodactyla,Camelus dromedarius ,Camelus dromedarius ,camels,camels,mol,PCR,1,Trypanosoma_evansi,Trypanosoma_evansi,679,210,30.9,20,210,469,0.309,,,cross_sectional ,short coomunication ,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
,"(Albuquerque et al., 2017)",cited,,,Portugal,,,,,PRT,,,,dogs,dogs,mol,nested PCR,9,Leishmania_infantum,Leishmania_infantum,229,86,37.55458515,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5346836/,,,28285595,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2017,"(Aleman et al., 2017)",cited,2013-2014,North America,United States,39°91’N,77°02’W,1,2,USA,Rodentia,Baiomys taylori,"Baiomys taylori, Neotoma micropus , Peromyscus leucopus, Liomys irroratus, Chaetodipus hispidus, Sigmodon hispidus.",rodents,rodents,sero,qPCR and PCR,5,Trypanosoma_cruzi,Trypanosoma_cruzi,543,8,1.35,28091763,8,535,0.0135,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
,"(Alho et al., 2016)",cited,,Europe,Portugal,,,,,PRT,,,,dogs,dogs,mol,PCR  and sequencing,9,Leishmania_infantum,Leishmania_infantum,100,13,13,,https://parasitesandvectors.biomedcentral.com/articles/10.1186/s13071-016-1509-2,,,27160284,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2014,"(Alias et al., 2014)",cited,2006-2011,Asia,Malaysia,03°09’N,101°41’E,1,2,MYS,Rodentia,Rattus exulans,"Rattus exulans, Rattus norvergicus, Rattus rattus diardii, Rattus annandalei.",rodents,rodents,micro,"microscopic	examination",,Trypanosoma_lewisi,Trypanosoma_lewisi,719,180,25,25134892,180,539,0.25,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
,"(Alroy et al., 2015)",cited,South America,,Peru,,,,,PER,,,,animals,animals,sero,,5,Trypanosoma_cruzi,Trypanosoma_cruzi,312,28,8.974358974,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4441511/,,,,26000770,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Alvasen et al., 2016)",cited,,,Malawi,,,,,MWI,,,,dogs ,dogs,sero,ELISA,9,Leishmania_spp.,Leishmania_spp.,100,1,1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6138158/,,,27543039,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Alves et al., 2017)",cited,,,Brazil,,,,,BRA,,,,cattle,cattle,mol,pcr,1,Trypanosoma_vivax,Trypanosoma_vivax,72,53,73.61111111,,https://www.geneticsmr.org/articles/comparison-of-three-methods-for-diagnosis-of-trypanosoma-duttonella-vivax-in-cattle-7478.html,,,NA,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Amer et al., 2011)",cited,,,Egypt,,,,,EGY,,,,camels,camels,mol,PCR (ITS1 and ITS2),1,Trypanosoma_evansi,Trypanosoma_evansi,84,4,4.7,,https://www.sciencedirect.com/science/article/pii/S0001706X10002445?via%3Dihub,,,20887705,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
