Host,Host_only,ott_id,prev,abundance,host_group,all_type
Engystomops_pustulosus_ott262675,Engystomops_pustulosus,ott262675,27.5,1,Anura,monoxenous_spp.
Bos_frontalis_ott96935,Bos_frontalis,ott96935,8.588469662,85,Artiodactyla,dixenous_spp.
Bubalus_bubalis_ott641187,Bubalus_bubalis,ott641187,16.57142857,7,Artiodactyla,dixenous_spp.
Camelus_dromedarius_ott510752,Camelus_dromedarius,ott510752,20.08006382,13,Artiodactyla,dixenous_spp.
Capra_hircus_(species_in_domain_Eukaryota)_ott19017,Capra_hircus_(species_in_domain_Eukaryota),ott19017,10.19837662,14,Artiodactyla,dixenous_spp.
Ovis_aries_ott70819,Ovis_aries,ott70819,11.52354557,15,Artiodactyla,dixenous_spp.
Sus_scrofa_ott730013,Sus_scrofa,ott730013,9.780030657,17,Artiodactyla,dixenous_spp.
Canis_lupus_familiaris_ott247333,Canis_lupus_familiaris,ott247333,16.80280508,66,Carnivora,dixenous_spp.
Felis_silvestris_ott563163,Felis_silvestris,ott563163,13,2,Carnivora,dixenous_spp.
Felis_catus_ott563166,Felis_catus,ott563166,17.27363636,11,Carnivora,dixenous_spp.
Nasua_narica_ott736280,Nasua_narica,ott736280,9,1,Carnivora,dixenous_spp.
Nasua_nasua_ott348031,Nasua_nasua,ott348031,1.7,1,Carnivora,dixenous_spp.
Procyon_lotor_ott348040,Procyon_lotor,ott348040,27.9,2,Carnivora,dixenous_spp.
Vulpes_vulpes_ott821964,Vulpes_vulpes,ott821964,12,1,Carnivora,dixenous_spp.
Anoura_caudifer_ott351792,Anoura_caudifer,ott351792,3.7,2,Chiroptera,monoxenous_spp.
Anoura_geoffroyi_ott688667,Anoura_geoffroyi,ott688667,7.2,1,Chiroptera,dixenous_spp.
Antrozous_pallidus_ott913941,Antrozous_pallidus,ott913941,22.2,1,Chiroptera,dixenous_spp.
Artibeus_lituratus_ott857633,Artibeus_lituratus,ott857633,8.3,2,Chiroptera,dixenous_spp.
Carollia_perspicillata_ott1039980,Carollia_perspicillata,ott1039980,13.6,2,Chiroptera,dixenous_spp.
Glossophaga_soricina_ott876514,Glossophaga_soricina,ott876514,6.8,1,Chiroptera,dixenous_spp.
Nycticeius_humeralis_ott977396,Nycticeius_humeralis,ott977396,1.4,2,Chiroptera,monoxenous_spp.
Parastrellus_hesperus_ott1034632,Parastrellus_hesperus,ott1034632,13.3,1,Chiroptera,dixenous_spp.
Pteronotus_personatus_ott554238,Pteronotus_personatus,ott554238,9.8,1,Chiroptera,dixenous_spp.
Sturnira_lilium_ott401293,Sturnira_lilium,ott401293,7.2,1,Chiroptera,dixenous_spp.
Turtur_afer_ott931107,Turtur_afer,ott931107,15,1,Columbiformes,dixenous_spp.
Bettongia_penicillata_ott97768,Bettongia_penicillata,ott97768,9.675,4,Didelphimorphia,dixenous_spp.
Bichromomyia_flaviscutellata_ott5823643,Bichromomyia_flaviscutellata,ott5823643,14.8,1,Diptera,dixenous_spp.
Chrysomya_albiceps_ott855084,Chrysomya_albiceps,ott855084,2.5,2,Diptera,monoxenous_spp.
Chrysomya_megacephala_ott358231,Chrysomya_megacephala,ott358231,0.65,2,Diptera,monoxenous_spp.
Chrysomya_putoria_ott246856,Chrysomya_putoria,ott246856,0.65,2,Diptera,monoxenous_spp.
Cochliomyia_macellaria_ott578164,Cochliomyia_macellaria,ott578164,1,1,Diptera,dixenous_spp.
Ctenophthalmus_agyrtes_ott853390,Ctenophthalmus_agyrtes,ott853390,15.43,1,Siphonaptera,dixenous_spp.
Culex_pipiens_ott218684,Culex_pipiens,ott218684,2.465,4,Diptera,monoxenous_spp.
Culex_torrentium_ott628301,Culex_torrentium,ott628301,3.57,1,Diptera,dixenous_spp.
Drosophila_obscura_ott355241,Drosophila_obscura,ott355241,3.4,5,Diptera,both
Evandromyia_sallesi_ott213215,Evandromyia_sallesi,ott213215,14.29,1,Diptera,dixenous_spp.
Glossina_brevipalpis_ott229716,Glossina_brevipalpis,ott229716,10.458,10,Diptera,dixenous_spp.
Glossina_morsitans_morsitans_ott152038,Glossina_morsitans_morsitans,ott152038,14.94285714,7,Diptera,dixenous_spp.
