C.bombi,estimator,,,se,p-value,,pred,pred2
Bombus_asiaticus,0.7326,0.5048,0.9604,0.1162,<.0001,***,0.444903014,44.4903014
Bombus_auricomus,0.2263,0.0427,0.4098,0.0937,0.0157,*,0.031878704,3.18787041
Bombus_bifarius,0.1664,0.145,0.1878,0.0109,<.0001,***,0.010065941,1.00659413
Bombus_bimaculatus,0.2755,0.252,0.299,0.012,<.0001,***,0.055826207,5.58262066
Bombus_borealis,0.4845,0.3844,0.5845,0.051,<.0001,***,0.204196097,20.4196097
Bombus_californicus,1.3901,1.0323,1.748,0.1826,<.0001,***,0.985549504,98.5549504
Bombus_caliginosus,0.5928,0.4434,0.7423,0.0762,<.0001,***,0.303659694,30.3659694
Bombus_citrinus,1.2631,0.6433,1.8829,0.3162,<.0001,***,0.925935254,92.5935254
Bombus_diligens,0.1753,0.119,0.2316,0.0287,<.0001,***,0.012747206,1.27472055
Bombus_ephippiatus,0.1255,0.1104,0.1405,0.0077,<.0001,***,0.001328336,0.13283362
Bombus_fervidus,0.5332,0.4806,0.5857,0.0268,<.0001,***,0.247424227,24.74242266
Bombus_flavifrons,0.1628,0.0772,0.2484,0.0437,0.0002,***,0.009065648,0.90656475
Bombus_frigidus,0.5445,0.2674,0.8217,0.1414,0.0001,***,0.257908111,25.79081112
Bombus_griseocollis,0.5756,0.5465,0.6047,0.0148,<.0001,***,0.287114413,28.71144128
Bombus_hortorum,0.7854,0.6788,0.892,0.0544,<.0001,***,0.5,50
Bombus_huntii,0.3503,0.3155,0.3851,0.0178,<.0001,***,0.100996075,10.09960753
Bombus_impatiens,0.3226,0.3103,0.3349,0.0063,<.0001,***,0.083112241,8.31122413
Bombus_lapidarius,0.7878,0.714,0.8615,0.0376,<.0001,***,0.502485617,50.24856169
Bombus_lucorum,0.7713,0.6533,0.8893,0.0602,<.0001,***,0.485238128,48.52381284
Bombus_macgregori,0.3098,0.1822,0.4374,0.0651,<.0001,***,0.07527799,7.52779899
Bombus_melanopygus,0.3325,0.2262,0.4388,0.0542,<.0001,***,0.089335973,8.93359731
Bombus_mesomelas,0.5126,0.3222,0.7029,0.0971,<.0001,***,0.22881755,22.88175497
Bombus_mixtus,0.3392,0.2948,0.3836,0.0226,<.0001,***,0.093669789,9.36697894
Bombus_monticola,0.2492,0.0471,0.4514,0.1031,0.0157,*,0.042426293,4.24262934
Bombus_muscorum,1.2437,1.1813,1.3061,0.0318,<.0001,***,0.914082249,91.40822485
Bombus_occidentalis,0.1617,0.0871,0.2364,0.0381,<.0001,***,0.008782224,0.87822236
Bombus_pascuorum,0.5215,0.475,0.568,0.0237,<.0001,***,0.236837762,23.68377615
Bombus_pensylvanicus,0.1022,0.0642,0.1402,0.0194,<.0001,***,0,0
Bombus_perplexus,0.6768,0.5775,0.776,0.0506,<.0001,***,0.387357941,38.73579406
Bombus_pratorum,1.0435,0.8125,1.2744,0.1179,<.0001,***,0.757872219,75.78722187
Bombus_pyrenaeus,0.3695,0.1417,0.5974,0.1162,0.0015,**,0.114135074,11.41350736
Bombus_ruderarius,0.3954,0.2332,0.5577,0.0828,<.0001,***,0.132790795,13.27907951
Bombus_rufocinctus,0.8675,0.7593,0.9757,0.0552,<.0001,***,0.585459067,58.54590669
Bombus_sandersoni,0.7854,0.6094,0.9614,0.0898,<.0001,***,0.5,50
Bombus_sichelii,0.1768,0.0669,0.2867,0.0561,0.0016,**,0.013214673,1.32146725
Bombus_simillimus,0.5532,0.2171,0.8893,0.1715,0.0013,**,0.26593473,26.59347296
Bombus_spp.,0.5942,0.5796,0.6088,0.0074,<.0001,***,0.305019415,30.50194149
Bombus_steindachneri,0.3507,0.1342,0.5671,0.1104,0.0015,**,0.101220572,10.12205715
Bombus_sylvicola,0.1831,0.0345,0.3317,0.0758,0.0157,*,0.015243038,1.52430379
Bombus_ternarius,0.9302,0.7712,1.0892,0.0811,<.0001,***,0.649238655,64.92386546
Bombus_terrestris,0.6031,0.5855,0.6207,0.009,<.0001,***,0.313619021,31.36190213
Bombus_terricola,1.1781,0.3779,1.9782,0.4082,0.0039,**,0.869235627,86.92356273
Bombus_trifasciatus,0.7004,0.2826,1.1183,0.2132,0.001,**,0.411614054,41.16140536
Bombus_trinominatus,0.1181,0.0503,0.1859,0.0346,0.0006,***,0.000541271,0.05412705
Bombus_vagans,0.6363,0.5668,0.7057,0.0354,<.0001,***,0.346407774,34.64077735
Bombus_vandykei,0.2187,0.0413,0.3961,0.0905,0.0157,*,0.028654136,2.86541355
Bombus_vosnesenskii,0.2272,0.1968,0.2577,0.0155,<.0001,***,0.032297308,3.22973083
Bombus_weisi,0.1204,0.0972,0.1435,0.0118,<.0001,***,0.000750476,0.07504763
Bombus_wilmattae,0.6007,0.5061,0.6952,0.0482,<.0001,***,0.311268159,31.12681588
Bombus_wurflenii,0.3385,0.2682,0.4087,0.0359,<.0001,***,0.093175931,9.31759313
