host,pred,ci.ib,ci.ub,se,all,k,all sample,dub,sample_size,SL
fish,0.4431,0.0688,0.8608,0.04550883,dixenous_spp.,2,,0,2519,3.401228167
raccoons,0.3012,0.2681,0.3353,0,dixenous_spp.,2,,0,815,2.911157609
bees,0.2691,0.1801,0.3681,0,monoxenous_spp.,30,182070,1850,180220,5.255802985
buffaloes,0.1901,0.0585,0.3704,0.004166197,dixenous_spp.,6,,0,5473,3.738225448
camels,0.1614,0.077,0.2678,0.00,dixenous_spp.,11,14186,1759,12427,4.094366298
dogs,0.1388,0.1057,0.1755,0,dixenous_spp.,61,88278,1601,86677,4.937903871
rodents,0.1232,0.0683,0.1905,0,dixenous_spp.,10,,0,6810,3.833147112
truebugs,0.1179,0.0657,0.1818,0,mixed,19,22369,3288,19081,4.280601132
cats,0.107,0.0166,0.2536,0.003307064,dixenous_spp.,8,5549,1142,4407,3.644143051
animals,0.102,0.0437,0.1792,,mixed,18,21848,8788,13060,4.115943177
pigs,0.0984,0.0257,0.2061,0.000625104,dixenous_spp.,7,7647,3904,3743,3.573219827
sheep,0.0799,0.0161,0.1798,0.000559752,dixenous_spp.,6,2831,1390,1441,3.158663981
fleas,0.07,0,0.2456,0.008768784,mixed,2,,0,2839,3.453165393
goats,0.0681,0.0079,0.1705,,dixenous_spp.,7,3328,1757,1571,3.196176185
cattle,0.0523,0.0354,0.0718,0,dixenous_spp.,36,187543,24997,162546,5.210976287
flies,0.0523,0.0334,0.0745,0,mixed,50,112944,37797,75147,4.875911647
bats,0.0465,0.0082,0.1076,0,mixed,4,2527,432,2095,3.321184027
equids,0.0431,0.0193,0.0742,0,dixenous_spp.,13,14990,1263,13727,4.137575634
birds,0.0234,0.003,0.0566,0,dixenous_spp.,9,,0,9229,3.965154646
